,Model prediction,Ground truth,Array ID
69,6,7,Train_fc_69.npy
70,7,7,Train_fc_70.npy
71,10,10,Train_fc_71.npy
72,5,5,Train_fc_72.npy
73,11,9,Train_fc_73.npy
74,6,6,Train_fc_74.npy
75,8,7,Train_fc_75.npy
76,13,14,Train_fc_76.npy
77,16,25,Train_fc_77.npy
78,9,7,Train_fc_78.npy
79,13,14,Train_fc_79.npy
80,11,14,Train_fc_80.npy
81,13,13,Train_fc_81.npy
82,11,11,Train_fc_82.npy
83,0,0,Train_fc_83.npy
84,2,1,Train_fc_84.npy
85,2,3,Train_fc_85.npy
86,15,13,Train_fc_86.npy
87,6,6,Train_fc_87.npy
88,0,0,Train_fc_88.npy
89,1,1,Train_fc_89.npy
90,2,2,Train_fc_90.npy
91,11,11,Train_fc_91.npy
92,13,12,Train_fc_92.npy
93,13,12,Train_fc_93.npy
94,8,8,Train_fc_94.npy
95,11,13,Train_fc_95.npy
96,3,5,Train_fc_96.npy
97,7,8,Train_fc_97.npy
98,15,13,Train_fc_98.npy
99,8,12,Train_fc_99.npy
100,13,17,Train_fc_100.npy
101,16,17,Train_fc_101.npy
102,13,14,Train_fc_102.npy
103,2,1,Train_fc_103.npy
104,5,3,Train_fc_104.npy
105,5,4,Train_fc_105.npy
106,3,4,Train_fc_106.npy
107,9,12,Train_fc_107.npy
108,9,9,Train_fc_108.npy
109,9,8,Train_fc_109.npy
110,8,9,Train_fc_110.npy
111,13,14,Train_fc_111.npy
112,10,8,Train_fc_112.npy
113,13,15,Train_fc_113.npy
114,7,6,Train_fc_114.npy
115,7,7,Train_fc_115.npy
116,11,11,Train_fc_116.npy
117,11,10,Train_fc_117.npy
118,9,11,Train_fc_118.npy
119,13,14,Train_fc_119.npy
120,13,15,Train_fc_120.npy
121,15,17,Train_fc_121.npy
122,11,10,Train_fc_122.npy
123,9,9,Train_fc_123.npy
124,10,7,Train_fc_124.npy
125,10,9,Train_fc_125.npy
126,6,6,Train_fc_126.npy
127,6,8,Train_fc_127.npy
128,8,7,Train_fc_128.npy
129,13,15,Train_fc_129.npy
130,9,8,Train_fc_130.npy
131,9,8,Train_fc_131.npy
132,13,13,Train_fc_132.npy
133,9,8,Train_fc_133.npy
134,9,9,Train_fc_134.npy
135,7,7,Train_fc_135.npy
136,2,3,Train_fc_136.npy
137,7,11,Train_fc_137.npy
138,13,14,Train_fc_138.npy
139,5,7,Train_fc_139.npy
140,6,6,Train_fc_140.npy
141,11,12,Train_fc_141.npy
142,6,6,Train_fc_142.npy
143,15,19,Train_fc_143.npy
144,8,11,Train_fc_144.npy
145,9,9,Train_fc_145.npy
146,9,11,Train_fc_146.npy
147,5,4,Train_fc_147.npy
148,7,7,Train_fc_148.npy
149,13,13,Train_fc_149.npy
150,11,9,Train_fc_150.npy
151,9,10,Train_fc_151.npy
152,6,7,Train_fc_152.npy
153,15,16,Train_fc_153.npy
154,13,14,Train_fc_154.npy
155,9,9,Train_fc_155.npy
156,5,3,Train_fc_156.npy
157,3,2,Train_fc_157.npy
158,8,8,Train_fc_158.npy
159,13,14,Train_fc_159.npy
160,11,9,Train_fc_160.npy
161,16,18,Train_fc_161.npy
162,11,8,Train_fc_162.npy
163,10,11,Train_fc_163.npy
164,13,10,Train_fc_164.npy
165,7,9,Train_fc_165.npy
166,13,12,Train_fc_166.npy
167,13,10,Train_fc_167.npy
168,13,13,Train_fc_168.npy
169,9,11,Train_fc_169.npy
170,13,11,Train_fc_170.npy
171,8,10,Train_fc_171.npy
172,12,10,Train_fc_172.npy
173,7,6,Train_fc_173.npy
174,7,5,Train_fc_174.npy
175,9,9,Train_fc_175.npy
176,7,8,Train_fc_176.npy
177,3,2,Train_fc_177.npy
178,3,3,Train_fc_178.npy
179,13,13,Train_fc_179.npy
180,13,15,Train_fc_180.npy
181,9,11,Train_fc_181.npy
182,6,4,Train_fc_182.npy
183,15,11,Train_fc_183.npy
184,5,6,Train_fc_184.npy
185,3,4,Train_fc_185.npy
186,2,2,Train_fc_186.npy
187,12,9,Train_fc_187.npy
188,3,3,Train_fc_188.npy
189,15,15,Train_fc_189.npy
190,6,4,Train_fc_190.npy
191,12,11,Train_fc_191.npy
192,11,10,Train_fc_192.npy
193,6,7,Train_fc_193.npy
194,9,9,Train_fc_194.npy
195,13,15,Train_fc_195.npy
196,13,15,Train_fc_196.npy
197,9,12,Train_fc_197.npy
198,12,15,Train_fc_198.npy
199,7,7,Train_fc_199.npy
200,9,7,Train_fc_200.npy
201,11,10,Train_fc_201.npy
202,16,15,Train_fc_202.npy
203,13,14,Train_fc_203.npy
204,13,19,Train_fc_204.npy
205,12,13,Train_fc_205.npy
206,2,1,Train_fc_206.npy
207,13,12,Train_fc_207.npy
208,11,14,Train_fc_208.npy
209,9,10,Train_fc_209.npy
210,15,15,Train_fc_210.npy
211,7,8,Train_fc_211.npy
212,13,15,Train_fc_212.npy
213,11,7,Train_fc_213.npy
214,8,12,Train_fc_214.npy
215,15,13,Train_fc_215.npy
216,12,11,Train_fc_216.npy
217,16,18,Train_fc_217.npy
218,0,1,Train_fc_218.npy
219,6,7,Train_fc_219.npy
220,13,15,Train_fc_220.npy
221,18,17,Train_fc_221.npy
222,8,7,Train_fc_222.npy
223,9,7,Train_fc_223.npy
224,3,2,Train_fc_224.npy
225,13,15,Train_fc_225.npy
226,9,9,Train_fc_226.npy
227,11,12,Train_fc_227.npy
228,7,6,Train_fc_228.npy
229,11,9,Train_fc_229.npy
230,18,15,Train_fc_230.npy
231,7,7,Train_fc_231.npy
232,15,15,Train_fc_232.npy
233,9,8,Train_fc_233.npy
234,7,7,Train_fc_234.npy
235,9,10,Train_fc_235.npy
236,13,12,Train_fc_236.npy
237,7,5,Train_fc_237.npy
238,9,8,Train_fc_238.npy
239,9,9,Train_fc_239.npy
240,13,10,Train_fc_240.npy
241,13,14,Train_fc_241.npy
242,5,3,Train_fc_242.npy
243,3,6,Train_fc_243.npy
244,15,16,Train_fc_244.npy
245,5,5,Train_fc_245.npy
246,11,11,Train_fc_246.npy
247,13,13,Train_fc_247.npy
248,7,8,Train_fc_248.npy
249,10,10,Train_fc_249.npy
250,13,11,Train_fc_250.npy
251,7,11,Train_fc_251.npy
252,13,16,Train_fc_252.npy
253,6,6,Train_fc_253.npy
254,6,5,Train_fc_254.npy
255,13,14,Train_fc_255.npy
256,3,3,Train_fc_256.npy
257,12,9,Train_fc_257.npy
258,12,11,Train_fc_258.npy
259,13,12,Train_fc_259.npy
260,6,7,Train_fc_260.npy
261,6,8,Train_fc_261.npy
262,9,8,Train_fc_262.npy
263,13,13,Train_fc_263.npy
264,16,18,Train_fc_264.npy
265,10,8,Train_fc_265.npy
266,13,14,Train_fc_266.npy
267,16,16,Train_fc_267.npy
268,15,15,Train_fc_268.npy
269,2,2,Train_fc_269.npy
270,13,16,Train_fc_270.npy
271,2,3,Train_fc_271.npy
272,2,2,Train_fc_272.npy
273,2,3,Train_fc_273.npy
274,9,10,Train_fc_274.npy
275,2,1,Train_fc_275.npy
276,13,12,Train_fc_276.npy
277,12,12,Train_fc_277.npy
278,13,14,Train_fc_278.npy
279,13,13,Train_fc_279.npy
280,8,10,Train_fc_280.npy
281,6,8,Train_fc_281.npy
282,7,10,Train_fc_282.npy
283,6,7,Train_fc_283.npy
284,13,17,Train_fc_284.npy
285,1,1,Train_fc_285.npy
286,11,9,Train_fc_286.npy
287,2,2,Train_fc_287.npy
288,15,21,Train_fc_288.npy
289,13,18,Train_fc_289.npy
290,5,3,Train_fc_290.npy
291,11,9,Train_fc_291.npy
292,6,7,Train_fc_292.npy
293,9,7,Train_fc_293.npy
294,9,9,Train_fc_294.npy
295,16,23,Train_fc_295.npy
296,8,8,Train_fc_296.npy
297,6,6,Train_fc_297.npy
298,9,9,Train_fc_298.npy
299,13,17,Train_fc_299.npy
300,11,11,Train_fc_300.npy
301,13,15,Train_fc_301.npy
302,3,5,Train_fc_302.npy
303,10,9,Train_fc_303.npy
304,16,17,Train_fc_304.npy
305,11,12,Train_fc_305.npy
306,11,13,Train_fc_306.npy
307,9,8,Train_fc_307.npy
308,8,7,Train_fc_308.npy
309,13,14,Train_fc_309.npy
310,5,4,Train_fc_310.npy
311,11,11,Train_fc_311.npy
312,11,10,Train_fc_312.npy
313,6,7,Train_fc_313.npy
314,5,3,Train_fc_314.npy
315,16,19,Train_fc_315.npy
316,18,19,Train_fc_316.npy
317,3,3,Train_fc_317.npy
318,13,14,Train_fc_318.npy
319,13,14,Train_fc_319.npy
320,12,9,Train_fc_320.npy
321,3,3,Train_fc_321.npy
322,8,7,Train_fc_322.npy
323,12,13,Train_fc_323.npy
324,11,10,Train_fc_324.npy
325,12,11,Train_fc_325.npy
326,3,4,Train_fc_326.npy
327,15,15,Train_fc_327.npy
328,9,10,Train_fc_328.npy
329,11,8,Train_fc_329.npy
330,9,11,Train_fc_330.npy
331,5,3,Train_fc_331.npy
332,11,11,Train_fc_332.npy
333,9,10,Train_fc_333.npy
334,11,10,Train_fc_334.npy
335,6,6,Train_fc_335.npy
336,11,10,Train_fc_336.npy
337,5,5,Train_fc_337.npy
338,5,7,Train_fc_338.npy
339,13,11,Train_fc_339.npy
340,9,10,Train_fc_340.npy
341,9,9,Train_fc_341.npy
342,9,10,Train_fc_342.npy
343,9,12,Train_fc_343.npy
344,9,13,Train_fc_344.npy
345,7,9,Train_fc_345.npy
346,9,12,Train_fc_346.npy
347,5,4,Train_fc_347.npy
348,13,11,Train_fc_348.npy
349,13,16,Train_fc_349.npy
350,15,13,Train_fc_350.npy
351,6,7,Train_fc_351.npy
352,6,7,Train_fc_352.npy
353,9,8,Train_fc_353.npy
354,15,13,Train_fc_354.npy
355,13,14,Train_fc_355.npy
356,5,4,Train_fc_356.npy
357,5,5,Train_fc_357.npy
358,7,7,Train_fc_358.npy
359,15,18,Train_fc_359.npy
360,9,10,Train_fc_360.npy
361,3,2,Train_fc_361.npy
362,7,7,Train_fc_362.npy
363,13,13,Train_fc_363.npy
364,7,6,Train_fc_364.npy
365,12,11,Train_fc_365.npy
366,6,5,Train_fc_366.npy
367,8,7,Train_fc_367.npy
368,5,5,Train_fc_368.npy
369,7,6,Train_fc_369.npy
370,11,11,Train_fc_370.npy
371,15,15,Train_fc_371.npy
372,6,5,Train_fc_372.npy
373,16,15,Train_fc_373.npy
374,13,13,Train_fc_374.npy
375,9,11,Train_fc_375.npy
376,2,2,Train_fc_376.npy
377,16,9,Train_fc_377.npy
378,6,10,Train_fc_378.npy
379,9,10,Train_fc_379.npy
380,13,10,Train_fc_380.npy
381,5,4,Train_fc_381.npy
382,16,22,Train_fc_382.npy
383,11,9,Train_fc_383.npy
384,9,8,Train_fc_384.npy
385,6,7,Train_fc_385.npy
386,3,6,Train_fc_386.npy
387,6,5,Train_fc_387.npy
388,6,7,Train_fc_388.npy
389,16,14,Train_fc_389.npy
390,11,10,Train_fc_390.npy
391,13,14,Train_fc_391.npy
392,15,16,Train_fc_392.npy
393,13,16,Train_fc_393.npy
394,9,12,Train_fc_394.npy
395,15,17,Train_fc_395.npy
396,3,2,Train_fc_396.npy
397,9,7,Train_fc_397.npy
398,9,10,Train_fc_398.npy
399,16,16,Train_fc_399.npy
400,13,11,Train_fc_400.npy
401,13,14,Train_fc_401.npy
402,9,10,Train_fc_402.npy
403,2,2,Train_fc_403.npy
404,16,14,Train_fc_404.npy
405,12,9,Train_fc_405.npy
406,9,11,Train_fc_406.npy
407,13,13,Train_fc_407.npy
408,6,6,Train_fc_408.npy
409,15,14,Train_fc_409.npy
410,11,12,Train_fc_410.npy
411,11,13,Train_fc_411.npy
412,13,17,Train_fc_412.npy
413,13,16,Train_fc_413.npy
414,3,4,Train_fc_414.npy
415,0,0,Train_fc_415.npy
416,6,6,Train_fc_416.npy
417,2,1,Train_fc_417.npy
418,13,13,Train_fc_418.npy
419,3,4,Train_fc_419.npy
420,7,13,Train_fc_420.npy
421,9,8,Train_fc_421.npy
422,15,13,Train_fc_422.npy
423,15,21,Train_fc_423.npy
424,6,10,Train_fc_424.npy
425,13,12,Train_fc_425.npy
426,11,9,Train_fc_426.npy
427,11,11,Train_fc_427.npy
428,5,6,Train_fc_428.npy
429,11,12,Train_fc_429.npy
430,9,6,Train_fc_430.npy
431,13,12,Train_fc_431.npy
432,13,15,Train_fc_432.npy
433,5,7,Train_fc_433.npy
434,9,9,Train_fc_434.npy
435,13,16,Train_fc_435.npy
436,9,8,Train_fc_436.npy
437,9,13,Train_fc_437.npy
438,5,6,Train_fc_438.npy
439,6,6,Train_fc_439.npy
440,9,11,Train_fc_440.npy
441,11,10,Train_fc_441.npy
442,13,12,Train_fc_442.npy
443,9,9,Train_fc_443.npy
444,5,4,Train_fc_444.npy
445,7,6,Train_fc_445.npy
446,12,14,Train_fc_446.npy
447,13,15,Train_fc_447.npy
448,10,9,Train_fc_448.npy
449,6,5,Train_fc_449.npy
450,1,2,Train_fc_450.npy
451,13,13,Train_fc_451.npy
452,13,12,Train_fc_452.npy
453,11,11,Train_fc_453.npy
454,10,9,Train_fc_454.npy
455,15,15,Train_fc_455.npy
456,2,2,Train_fc_456.npy
457,3,3,Train_fc_457.npy
458,11,9,Train_fc_458.npy
459,13,16,Train_fc_459.npy
460,9,7,Train_fc_460.npy
461,13,11,Train_fc_461.npy
462,15,16,Train_fc_462.npy
463,9,13,Train_fc_463.npy
464,11,12,Train_fc_464.npy
465,11,11,Train_fc_465.npy
466,6,5,Train_fc_466.npy
467,15,19,Train_fc_467.npy
468,9,9,Train_fc_468.npy
469,8,10,Train_fc_469.npy
470,8,8,Train_fc_470.npy
471,9,8,Train_fc_471.npy
472,13,15,Train_fc_472.npy
473,13,13,Train_fc_473.npy
474,11,9,Train_fc_474.npy
475,11,12,Train_fc_475.npy
476,13,17,Train_fc_476.npy
477,13,13,Train_fc_477.npy
478,8,8,Train_fc_478.npy
479,12,10,Train_fc_479.npy
480,6,9,Train_fc_480.npy
481,11,12,Train_fc_481.npy
482,5,7,Train_fc_482.npy
483,6,5,Train_fc_483.npy
484,2,2,Train_fc_484.npy
485,5,4,Train_fc_485.npy
486,10,10,Train_fc_486.npy
487,11,10,Train_fc_487.npy
488,15,18,Train_fc_488.npy
489,13,13,Train_fc_489.npy
490,11,9,Train_fc_490.npy
491,9,10,Train_fc_491.npy
492,7,6,Train_fc_492.npy
493,6,10,Train_fc_493.npy
494,7,5,Train_fc_494.npy
495,13,15,Train_fc_495.npy
496,9,8,Train_fc_496.npy
497,8,7,Train_fc_497.npy
498,8,7,Train_fc_498.npy
499,7,8,Train_fc_499.npy
500,5,5,Train_fc_500.npy
501,3,3,Train_fc_501.npy
502,11,10,Train_fc_502.npy
503,12,16,Train_fc_503.npy
504,9,9,Train_fc_504.npy
505,7,8,Train_fc_505.npy
506,13,14,Train_fc_506.npy
507,12,10,Train_fc_507.npy
508,11,12,Train_fc_508.npy
509,13,10,Train_fc_509.npy
510,2,1,Train_fc_510.npy
511,9,10,Train_fc_511.npy
512,9,8,Train_fc_512.npy
513,9,9,Train_fc_513.npy
514,11,9,Train_fc_514.npy
515,15,12,Train_fc_515.npy
516,13,17,Train_fc_516.npy
517,9,9,Train_fc_517.npy
518,18,21,Train_fc_518.npy
519,13,15,Train_fc_519.npy
520,12,13,Train_fc_520.npy
521,9,10,Train_fc_521.npy
522,7,8,Train_fc_522.npy
523,7,7,Train_fc_523.npy
524,13,15,Train_fc_524.npy
525,9,9,Train_fc_525.npy
526,13,14,Train_fc_526.npy
527,13,15,Train_fc_527.npy
528,13,11,Train_fc_528.npy
529,6,6,Train_fc_529.npy
530,16,17,Train_fc_530.npy
531,5,6,Train_fc_531.npy
532,13,13,Train_fc_532.npy
533,9,11,Train_fc_533.npy
534,0,0,Train_fc_534.npy
535,9,9,Train_fc_535.npy
536,6,5,Train_fc_536.npy
537,8,6,Train_fc_537.npy
538,6,7,Train_fc_538.npy
539,5,5,Train_fc_539.npy
540,6,7,Train_fc_540.npy
541,13,15,Train_fc_541.npy
542,13,14,Train_fc_542.npy
543,6,8,Train_fc_543.npy
544,15,19,Train_fc_544.npy
545,9,11,Train_fc_545.npy
546,8,8,Train_fc_546.npy
547,7,10,Train_fc_547.npy
548,11,12,Train_fc_548.npy
549,16,13,Train_fc_549.npy
550,16,20,Train_fc_550.npy
551,2,3,Train_fc_551.npy
552,6,8,Train_fc_552.npy
553,12,13,Train_fc_553.npy
554,12,12,Train_fc_554.npy
555,13,16,Train_fc_555.npy
556,13,14,Train_fc_556.npy
557,6,6,Train_fc_557.npy
558,12,11,Train_fc_558.npy
559,9,9,Train_fc_559.npy
560,11,11,Train_fc_560.npy
561,6,6,Train_fc_561.npy
562,9,8,Train_fc_562.npy
563,8,9,Train_fc_563.npy
564,9,10,Train_fc_564.npy
565,11,11,Train_fc_565.npy
566,12,12,Train_fc_566.npy
567,13,13,Train_fc_567.npy
568,13,13,Train_fc_568.npy
569,15,18,Train_fc_569.npy
570,15,15,Train_fc_570.npy
571,5,5,Train_fc_571.npy
572,6,6,Train_fc_572.npy
573,13,18,Train_fc_573.npy
574,9,16,Train_fc_574.npy
575,16,16,Train_fc_575.npy
576,11,10,Train_fc_576.npy
577,13,14,Train_fc_577.npy
578,6,5,Train_fc_578.npy
579,13,16,Train_fc_579.npy
580,5,5,Train_fc_580.npy
581,6,7,Train_fc_581.npy
582,7,8,Train_fc_582.npy
583,13,11,Train_fc_583.npy
584,9,9,Train_fc_584.npy
585,13,14,Train_fc_585.npy
586,15,16,Train_fc_586.npy
587,0,0,Train_fc_587.npy
588,13,12,Train_fc_588.npy
589,11,15,Train_fc_589.npy
590,9,11,Train_fc_590.npy
591,6,4,Train_fc_591.npy
592,3,2,Train_fc_592.npy
593,9,9,Train_fc_593.npy
594,9,11,Train_fc_594.npy
595,6,4,Train_fc_595.npy
596,15,20,Train_fc_596.npy
597,13,14,Train_fc_597.npy
598,13,19,Train_fc_598.npy
599,8,8,Train_fc_599.npy
600,6,4,Train_fc_600.npy
601,6,6,Train_fc_601.npy
602,12,12,Train_fc_602.npy
603,5,4,Train_fc_603.npy
604,3,5,Train_fc_604.npy
605,3,4,Train_fc_605.npy
606,13,10,Train_fc_606.npy
607,8,8,Train_fc_607.npy
608,13,17,Train_fc_608.npy
609,15,18,Train_fc_609.npy
610,2,1,Train_fc_610.npy
611,7,6,Train_fc_611.npy
612,5,6,Train_fc_612.npy
613,11,8,Train_fc_613.npy
614,6,7,Train_fc_614.npy
615,8,9,Train_fc_615.npy
616,11,10,Train_fc_616.npy
617,8,7,Train_fc_617.npy
618,13,15,Train_fc_618.npy
619,8,10,Train_fc_619.npy
620,13,13,Train_fc_620.npy
621,13,12,Train_fc_621.npy
622,13,9,Train_fc_622.npy
623,13,11,Train_fc_623.npy
624,13,14,Train_fc_624.npy
625,11,12,Train_fc_625.npy
626,12,12,Train_fc_626.npy
627,2,1,Train_fc_627.npy
628,11,10,Train_fc_628.npy
629,2,5,Train_fc_629.npy
630,15,13,Train_fc_630.npy
631,13,15,Train_fc_631.npy
632,15,17,Train_fc_632.npy
633,13,15,Train_fc_633.npy
634,15,15,Train_fc_634.npy
635,8,9,Train_fc_635.npy
636,15,23,Train_fc_636.npy
637,5,5,Train_fc_637.npy
638,9,9,Train_fc_638.npy
639,13,13,Train_fc_639.npy
640,12,11,Train_fc_640.npy
641,11,12,Train_fc_641.npy
642,15,18,Train_fc_642.npy
643,15,11,Train_fc_643.npy
644,3,5,Train_fc_644.npy
645,13,17,Train_fc_645.npy
646,9,10,Train_fc_646.npy
647,9,10,Train_fc_647.npy
648,11,9,Train_fc_648.npy
649,13,14,Train_fc_649.npy
650,13,16,Train_fc_650.npy
651,9,8,Train_fc_651.npy
652,12,11,Train_fc_652.npy
653,5,5,Train_fc_653.npy
654,5,8,Train_fc_654.npy
655,13,14,Train_fc_655.npy
656,15,18,Train_fc_656.npy
657,12,12,Train_fc_657.npy
658,1,1,Train_fc_658.npy
659,12,14,Train_fc_659.npy
660,6,5,Train_fc_660.npy
661,3,3,Train_fc_661.npy
662,5,4,Train_fc_662.npy
663,9,11,Train_fc_663.npy
664,9,10,Train_fc_664.npy
665,13,11,Train_fc_665.npy
666,10,12,Train_fc_666.npy
667,9,10,Train_fc_667.npy
668,9,9,Train_fc_668.npy
669,9,14,Train_fc_669.npy
670,16,19,Train_fc_670.npy
671,13,12,Train_fc_671.npy
672,16,13,Train_fc_672.npy
673,2,1,Train_fc_673.npy
674,13,15,Train_fc_674.npy
675,13,15,Train_fc_675.npy
676,9,9,Train_fc_676.npy
677,5,7,Train_fc_677.npy
678,16,23,Train_fc_678.npy
679,15,23,Train_fc_679.npy
680,13,14,Train_fc_680.npy
681,5,3,Train_fc_681.npy
682,9,9,Train_fc_682.npy
683,12,13,Train_fc_683.npy
684,13,11,Train_fc_684.npy
685,8,10,Train_fc_685.npy
686,13,12,Train_fc_686.npy
687,3,2,Train_fc_687.npy
688,6,5,Train_fc_688.npy
689,0,0,Train_fc_689.npy
690,13,15,Train_fc_690.npy
691,11,9,Train_fc_691.npy
692,9,11,Train_fc_692.npy
693,6,6,Train_fc_693.npy
694,9,9,Train_fc_694.npy
695,12,12,Train_fc_695.npy
696,6,9,Train_fc_696.npy
697,7,9,Train_fc_697.npy
698,3,5,Train_fc_698.npy
699,6,6,Train_fc_699.npy
700,11,9,Train_fc_700.npy
701,15,13,Train_fc_701.npy
702,13,14,Train_fc_702.npy
703,11,11,Train_fc_703.npy
704,12,10,Train_fc_704.npy
705,9,10,Train_fc_705.npy
706,5,5,Train_fc_706.npy
707,3,1,Train_fc_707.npy
708,1,1,Train_fc_708.npy
709,3,4,Train_fc_709.npy
710,9,9,Train_fc_710.npy
711,9,10,Train_fc_711.npy
712,9,9,Train_fc_712.npy
713,15,14,Train_fc_713.npy
714,13,12,Train_fc_714.npy
715,15,18,Train_fc_715.npy
716,15,21,Train_fc_716.npy
717,12,12,Train_fc_717.npy
718,13,13,Train_fc_718.npy
719,11,9,Train_fc_719.npy
720,13,12,Train_fc_720.npy
721,5,3,Train_fc_721.npy
722,6,7,Train_fc_722.npy
723,8,9,Train_fc_723.npy
724,15,20,Train_fc_724.npy
725,3,5,Train_fc_725.npy
726,13,12,Train_fc_726.npy
727,13,15,Train_fc_727.npy
728,5,3,Train_fc_728.npy
729,5,6,Train_fc_729.npy
730,5,4,Train_fc_730.npy
731,13,10,Train_fc_731.npy
732,9,8,Train_fc_732.npy
733,15,18,Train_fc_733.npy
734,11,12,Train_fc_734.npy
735,12,11,Train_fc_735.npy
736,10,10,Train_fc_736.npy
737,9,9,Train_fc_737.npy
738,13,14,Train_fc_738.npy
739,11,11,Train_fc_739.npy
740,13,13,Train_fc_740.npy
741,15,13,Train_fc_741.npy
742,13,12,Train_fc_742.npy
743,7,5,Train_fc_743.npy
744,8,8,Train_fc_744.npy
745,8,8,Train_fc_745.npy
746,13,14,Train_fc_746.npy
747,8,9,Train_fc_747.npy
748,6,6,Train_fc_748.npy
749,3,2,Train_fc_749.npy
750,5,4,Train_fc_750.npy
751,12,12,Train_fc_751.npy
752,13,16,Train_fc_752.npy
753,6,6,Train_fc_753.npy
754,6,6,Train_fc_754.npy
755,6,8,Train_fc_755.npy
756,9,8,Train_fc_756.npy
757,13,12,Train_fc_757.npy
758,13,13,Train_fc_758.npy
759,5,7,Train_fc_759.npy
760,13,14,Train_fc_760.npy
761,12,8,Train_fc_761.npy
762,6,7,Train_fc_762.npy
763,15,16,Train_fc_763.npy
764,2,2,Train_fc_764.npy
765,7,9,Train_fc_765.npy
766,12,10,Train_fc_766.npy
767,11,10,Train_fc_767.npy
768,10,9,Train_fc_768.npy
769,9,7,Train_fc_769.npy
770,9,10,Train_fc_770.npy
771,9,13,Train_fc_771.npy
772,7,7,Train_fc_772.npy
773,9,10,Train_fc_773.npy
774,13,15,Train_fc_774.npy
775,8,9,Train_fc_775.npy
776,5,4,Train_fc_776.npy
777,14,9,Train_fc_777.npy
778,13,15,Train_fc_778.npy
779,5,5,Train_fc_779.npy
780,13,12,Train_fc_780.npy
781,11,12,Train_fc_781.npy
782,2,1,Train_fc_782.npy
783,13,9,Train_fc_783.npy
784,15,14,Train_fc_784.npy
785,13,10,Train_fc_785.npy
786,13,13,Train_fc_786.npy
787,10,9,Train_fc_787.npy
788,9,11,Train_fc_788.npy
789,7,7,Train_fc_789.npy
790,11,9,Train_fc_790.npy
791,11,9,Train_fc_791.npy
792,12,14,Train_fc_792.npy
793,9,10,Train_fc_793.npy
794,6,7,Train_fc_794.npy
795,11,13,Train_fc_795.npy
796,13,12,Train_fc_796.npy
797,8,10,Train_fc_797.npy
798,9,8,Train_fc_798.npy
799,9,10,Train_fc_799.npy
800,13,12,Train_fc_800.npy
801,15,14,Train_fc_801.npy
802,11,14,Train_fc_802.npy
803,16,16,Train_fc_803.npy
804,11,11,Train_fc_804.npy
805,1,1,Train_fc_805.npy
806,13,16,Train_fc_806.npy
807,13,13,Train_fc_807.npy
808,5,4,Train_fc_808.npy
809,15,13,Train_fc_809.npy
810,15,15,Train_fc_810.npy
811,11,10,Train_fc_811.npy
812,11,9,Train_fc_812.npy
813,9,8,Train_fc_813.npy
814,11,10,Train_fc_814.npy
815,11,14,Train_fc_815.npy
816,15,18,Train_fc_816.npy
817,13,13,Train_fc_817.npy
818,6,10,Train_fc_818.npy
819,9,11,Train_fc_819.npy
820,6,8,Train_fc_820.npy
